epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5823754668235779,0.0010000000474974513,1.1822453737258911,0.6522988677024841,1.0255459547042847
1,0.8055555820465088,0.0010000000474974513,0.6233887076377869,0.8261494040489197,0.7301118969917297
2,0.8486589789390564,0.0010000000474974513,0.4993430972099304,0.8893678188323975,0.5686829090118408
3,0.873084306716919,0.0010000000474974513,0.41619256138801575,0.8807471394538879,0.48757871985435486
4,0.8908045887947083,0.0010000000474974513,0.3500770628452301,0.875,0.4323312044143677
5,0.9066091775894165,0.0010000000474974513,0.31685110926628113,0.8879310488700867,0.3932962119579315
6,0.920976996421814,0.0010000000474974513,0.28217384219169617,0.8678160905838013,0.41504231095314026
7,0.9281609058380127,0.0010000000474974513,0.2586980164051056,0.8635057210922241,0.44389578700065613
8,0.9353448152542114,0.0010000000474974513,0.23611141741275787,0.8793103694915771,0.4060544967651367
9,0.9410919547080994,0.0010000000474974513,0.21868692338466644,0.8836206793785095,0.4259786009788513
10,0.946360170841217,0.0010000000474974513,0.20965000987052917,0.8735632300376892,0.4544798731803894
11,0.9468390941619873,0.0010000000474974513,0.2063889354467392,0.8663793206214905,0.46427804231643677
12,0.9449234008789062,0.0010000000474974513,0.19490768015384674,0.8778735399246216,0.48772484064102173
13,0.9444444179534912,0.0010000000474974513,0.20323647558689117,0.8778735399246216,0.5131518840789795
14,0.954023003578186,0.0010000000474974513,0.18112771213054657,0.8678160905838013,0.4954322874546051
15,0.954023003578186,0.0010000000474974513,0.18017137050628662,0.8534482717514038,0.49519971013069153
16,0.9588122367858887,0.0005000000237487257,0.1751324087381363,0.8721264600753784,0.49089059233665466
17,0.959770143032074,0.0005000000237487257,0.15756046772003174,0.8735632300376892,0.47900858521461487
18,0.9607279896736145,0.0005000000237487257,0.15531682968139648,0.8807471394538879,0.4778729975223541
19,0.9578543901443481,0.0005000000237487257,0.16064123809337616,0.8706896305084229,0.4848140478134155
20,0.9659961462020874,0.0005000000237487257,0.14702650904655457,0.8635057210922241,0.4860566258430481
21,0.9659961462020874,0.0005000000237487257,0.15410807728767395,0.8678160905838013,0.5059541463851929
22,0.9655172228813171,0.0005000000237487257,0.1460031270980835,0.8721264600753784,0.519586443901062
23,0.9659961462020874,0.0005000000237487257,0.13700735569000244,0.8663793206214905,0.5091832280158997
24,0.9636015295982361,0.0005000000237487257,0.14374187588691711,0.8462643623352051,0.5555047988891602
25,0.9664750695228577,0.0005000000237487257,0.13857243955135345,0.8706896305084229,0.5269671082496643
