filename,fold,target,category,esc10,src_file,take,original_category
1-100032-A-0.wav,1,2,dog_bark,True,100032,A,dog
1-110389-A-0.wav,1,2,dog_bark,True,110389,A,dog
1-13613-A-37.wav,1,0,alarm_clock,False,13613,A,clock_alarm
1-14262-A-37.wav,1,0,alarm_clock,False,14262,A,clock_alarm
1-187207-A-20.wav,1,1,crying_baby,True,187207,A,crying_baby
1-20133-A-39.wav,1,3,glass_breaking,False,20133,A,glass_breaking
1-211527-A-20.wav,1,1,crying_baby,True,211527,A,crying_baby
1-211527-B-20.wav,1,1,crying_baby,True,211527,B,crying_baby
1-211527-C-20.wav,1,1,crying_baby,True,211527,C,crying_baby
1-22694-A-20.wav,1,1,crying_baby,True,22694,A,crying_baby
1-22694-B-20.wav,1,1,crying_baby,True,22694,B,crying_baby
1-30226-A-0.wav,1,2,dog_bark,True,30226,A,dog
1-30344-A-0.wav,1,2,dog_bark,True,30344,A,dog
1-31482-A-42.wav,1,4,siren,False,31482,A,siren
1-31482-B-42.wav,1,4,siren,False,31482,B,siren
1-32318-A-0.wav,1,2,dog_bark,True,32318,A,dog
1-34853-A-37.wav,1,0,alarm_clock,False,34853,A,clock_alarm
1-54084-A-42.wav,1,4,siren,False,54084,A,siren
1-59513-A-0.wav,1,2,dog_bark,True,59513,A,dog
1-60997-A-20.wav,1,1,crying_baby,True,60997,A,crying_baby
1-60997-B-20.wav,1,1,crying_baby,True,60997,B,crying_baby
1-67033-A-37.wav,1,0,alarm_clock,False,67033,A,clock_alarm
1-72195-A-37.wav,1,0,alarm_clock,False,72195,A,clock_alarm
1-72195-B-37.wav,1,0,alarm_clock,False,72195,B,clock_alarm
1-74517-A-37.wav,1,0,alarm_clock,False,74517,A,clock_alarm
1-76831-A-42.wav,1,4,siren,False,76831,A,siren
1-76831-B-42.wav,1,4,siren,False,76831,B,siren
1-76831-C-42.wav,1,4,siren,False,76831,C,siren
1-76831-D-42.wav,1,4,siren,False,76831,D,siren
1-76831-E-42.wav,1,4,siren,False,76831,E,siren
1-84536-A-39.wav,1,3,glass_breaking,False,84536,A,glass_breaking
1-84704-A-39.wav,1,3,glass_breaking,False,84704,A,glass_breaking
1-84705-A-39.wav,1,3,glass_breaking,False,84705,A,glass_breaking
1-85168-A-39.wav,1,3,glass_breaking,False,85168,A,glass_breaking
1-85184-A-39.wav,1,3,glass_breaking,False,85184,A,glass_breaking
1-85362-A-0.wav,1,2,dog_bark,True,85362,A,dog
1-88807-A-39.wav,1,3,glass_breaking,False,88807,A,glass_breaking
1-96890-A-37.wav,1,0,alarm_clock,False,96890,A,clock_alarm
1-97392-A-0.wav,1,2,dog_bark,True,97392,A,dog
1-977-A-39.wav,1,3,glass_breaking,False,977,A,glass_breaking
2-102435-A-37.wav,2,0,alarm_clock,False,102435,A,clock_alarm
2-104475-A-37.wav,2,0,alarm_clock,False,104475,A,clock_alarm
2-104476-A-37.wav,2,0,alarm_clock,False,104476,A,clock_alarm
2-106881-A-39.wav,2,3,glass_breaking,False,106881,A,glass_breaking
2-107351-A-20.wav,2,1,crying_baby,True,107351,A,crying_baby
2-107351-B-20.wav,2,1,crying_baby,True,107351,B,crying_baby
2-112213-A-39.wav,2,3,glass_breaking,False,112213,A,glass_breaking
2-112213-B-39.wav,2,3,glass_breaking,False,112213,B,glass_breaking
2-114280-A-0.wav,2,2,dog_bark,True,114280,A,dog
2-114587-A-0.wav,2,2,dog_bark,True,114587,A,dog
2-116400-A-0.wav,2,2,dog_bark,True,116400,A,dog
2-117116-A-37.wav,2,0,alarm_clock,False,117116,A,clock_alarm
2-117271-A-0.wav,2,2,dog_bark,True,117271,A,dog
2-118072-A-0.wav,2,2,dog_bark,True,118072,A,dog
2-118964-A-0.wav,2,2,dog_bark,True,118964,A,dog
2-122104-A-0.wav,2,2,dog_bark,True,122104,A,dog
2-122104-B-0.wav,2,2,dog_bark,True,122104,B,dog
2-141563-A-39.wav,2,3,glass_breaking,False,141563,A,glass_breaking
2-151079-A-20.wav,2,1,crying_baby,True,151079,A,crying_baby
2-173559-A-39.wav,2,3,glass_breaking,False,173559,A,glass_breaking
2-173607-A-39.wav,2,3,glass_breaking,False,173607,A,glass_breaking
2-173618-A-39.wav,2,3,glass_breaking,False,173618,A,glass_breaking
2-250710-A-39.wav,2,3,glass_breaking,False,250710,A,glass_breaking
2-43802-A-42.wav,2,4,siren,False,43802,A,siren
2-43806-A-42.wav,2,4,siren,False,43806,A,siren
