filename,fold,target,category,esc10,src_file,take,original_category,processed_path,processed
1-100032-A-0.wav,1,2,dog_bark,True,100032,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0000.wav,True
1-110389-A-0.wav,1,2,dog_bark,True,110389,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0001.wav,True
1-13613-A-37.wav,1,0,alarm_clock,False,13613,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0002.wav,True
1-14262-A-37.wav,1,0,alarm_clock,False,14262,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0003.wav,True
1-187207-A-20.wav,1,1,crying_baby,True,187207,A,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0004.wav,True
1-20133-A-39.wav,1,3,glass_breaking,False,20133,A,glass_breaking,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\glass_breaking_0005.wav,True
1-211527-A-20.wav,1,1,crying_baby,True,211527,A,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0006.wav,True
1-211527-B-20.wav,1,1,crying_baby,True,211527,B,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0007.wav,True
1-211527-C-20.wav,1,1,crying_baby,True,211527,C,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0008.wav,True
1-22694-A-20.wav,1,1,crying_baby,True,22694,A,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0009.wav,True
1-22694-B-20.wav,1,1,crying_baby,True,22694,B,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0010.wav,True
1-30226-A-0.wav,1,2,dog_bark,True,30226,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0011.wav,True
1-30344-A-0.wav,1,2,dog_bark,True,30344,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0012.wav,True
1-31482-A-42.wav,1,4,siren,False,31482,A,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0013.wav,True
1-31482-B-42.wav,1,4,siren,False,31482,B,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0014.wav,True
1-32318-A-0.wav,1,2,dog_bark,True,32318,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0015.wav,True
1-34853-A-37.wav,1,0,alarm_clock,False,34853,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0016.wav,True
1-54084-A-42.wav,1,4,siren,False,54084,A,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0017.wav,True
1-59513-A-0.wav,1,2,dog_bark,True,59513,A,dog,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\dog_bark_0018.wav,True
1-60997-A-20.wav,1,1,crying_baby,True,60997,A,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0019.wav,True
1-60997-B-20.wav,1,1,crying_baby,True,60997,B,crying_baby,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\crying_baby_0020.wav,True
1-67033-A-37.wav,1,0,alarm_clock,False,67033,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0021.wav,True
1-72195-A-37.wav,1,0,alarm_clock,False,72195,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0022.wav,True
1-72195-B-37.wav,1,0,alarm_clock,False,72195,B,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0023.wav,True
1-74517-A-37.wav,1,0,alarm_clock,False,74517,A,clock_alarm,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\alarm_clock_0024.wav,True
1-76831-A-42.wav,1,4,siren,False,76831,A,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0025.wav,True
1-76831-B-42.wav,1,4,siren,False,76831,B,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0026.wav,True
1-76831-C-42.wav,1,4,siren,False,76831,C,siren,C:\Users\hsynt\Desktop\YapayZekaDers\Çevresel_Ses_Analizi\hearalert\processed\audio_clips\siren_0027.wav,True
